movie_id,cast
70981,"['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron']"
399579,"['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly']"
119450,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']"
15092,"['Jason Statham', 'Amy Smart', 'David Carradine']"
10192,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']"
454983,"['Joey King', 'Joel Courtney', 'Jacob Elordi']"
122,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
619297,"['Jason Momoa', 'Isabela Merced', 'Manuel Garcia-Rulfo']"
9023,"['Matt Damon', 'James Cromwell', 'Charles Napier']"
619778,"['Annabelle Wallis', 'Maddie Hasson', 'George Young']"
12153,"['Shawn Wayans', 'Marlon Wayans', 'Jaime King']"
402900,"['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway']"
511809,"['Ansel Elgort', 'Rachel Zegler', 'Ariana DeBose']"
18240,"['Sandra Bullock', 'Ryan Reynolds', 'Malin Åkerman']"
400535,"['Benicio del Toro', 'Josh Brolin', 'Isabela Merced']"
8355,"['Ray Romano', 'John Leguizamo', 'Denis Leary']"
25769,"['Lou Taylor Pucci', 'Chris Pine', 'Piper Perabo']"
531309,"['Jackson A. Dunn', 'Elizabeth Banks', 'David Denman']"
49018,"['Rose Byrne', 'Patrick Wilson', 'Ty Simpkins']"
10358,"['Seth Rogen', 'Elizabeth Banks', 'Craig Robinson']"
630004,"['Freddie Highmore', 'Astrid Bergès-Frisbey', 'Sam Riley']"
37135,"['Tony Goldwyn', 'Minnie Driver', 'Glenn Close']"
44896,"['Johnny Depp', 'Isla Fisher', 'Ned Beatty']"
46195,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann']"
82702,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler']"
232672,"['Adam Sandler', 'Drew Barrymore', 'Wendi McLendon-Covey']"
49026,"['Christian Bale', 'Michael Caine', 'Gary Oldman']"
45243,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis']"
10830,"['Mara Wilson', 'Danny DeVito', 'Rhea Perlman']"
57158,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']"
168259,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']"
121,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
497,"['Tom Hanks', 'David Morse', 'Bonnie Hunt']"
9836,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy']"
38700,"['Will Smith', 'Martin Lawrence', 'Paola Nuñez']"
335988,"['Mark Wahlberg', 'Josh Duhamel', 'Stanley Tucci']"
82675,"['Liam Neeson', 'Maggie Grace', 'Famke Janssen']"
50546,"['Adam Sandler', 'Jennifer Aniston', 'Nicole Kidman']"
645788,"['Maggie Q', 'Samuel L. Jackson', 'Michael Keaton']"
424694,"['Rami Malek', 'Gwilym Lee', 'Ben Hardy']"
123553,"['Lily Collins', 'Jamie Campbell Bower', 'Robert Sheehan']"
10009,"['Joaquin Phoenix', 'Jeremy Suarez', 'Jason Raize']"
287947,"['Zachary Levi', 'Asher Angel', 'Mark Strong']"
11970,"['Tate Donovan', 'Josh Keaton', 'Roger Bart']"
953,"['Ben Stiller', 'Chris Rock', 'David Schwimmer']"
49529,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']"
346364,"['Jaeden Martell', 'Jeremy Ray Taylor', 'Sophia Lillis']"
150689,"['Lily James', 'Cate Blanchett', 'Richard Madden']"
198184,"['Sharlto Copley', 'Dev Patel', 'Hugh Jackman']"
677638,"['Eric Edelstein', 'Bobby Moynihan', 'Demetri Martin']"
8681,"['Liam Neeson', 'Maggie Grace', 'Leland Orser']"
597891,"['Mary Elizabeth Winstead', 'Woody Harrelson', 'Tadanobu Asano']"
19908,"['Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone']"
1579,"['Rudy Youngblood', 'Raoul Max Trujillo', 'Gerardo Taracena']"
11688,"['David Spade', 'John Goodman', 'Eartha Kitt']"
11324,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley']"
207703,"['Colin Firth', 'Samuel L. Jackson', 'Mark Strong']"
522938,"['Sylvester Stallone', 'Paz Vega', 'Sergio Peris-Mencheta']"
190859,"['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner']"
105864,"['Frances McDormand', 'Raymond Ochoa', 'Jeffrey Wright']"
8363,"['Jonah Hill', 'Michael Cera', 'Christopher Mintz-Plasse']"
21208,"['Vera Farmiga', 'Peter Sarsgaard', 'Isabelle Fuhrman']"
227719,"['Jonny Weston', 'Virginia Gardner', ""Sofia Black-D'Elia""]"
245842,"['Pierce Brosnan', 'Kaya Scodelario', 'Benjamin Walker']"
607259,"['Kevin Hart', 'Melody Hurd', 'Alfre Woodard']"
76492,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez']"
920,"['Owen Wilson', 'Larry the Cable Guy', 'Bonnie Hunt']"
215,"['Tobin Bell', 'Donnie Wahlberg', 'Shawnee Smith']"
22881,"['Sandra Bullock', 'Tim McGraw', 'Quinton Aaron']"
245891,"['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen']"
169,"['Danny Glover', 'Gary Busey', 'Rubén Blades']"
140300,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman']"
214,"['Tobin Bell', 'Shawnee Smith', 'Angus Macfadyen']"
790142,"['Laura Marano', 'Mena Massoud', 'Chelsie Preston Crayford']"
27578,"['Sylvester Stallone', 'Jason Statham', 'Jet Li']"
812,"['Scott Weinger', 'Robin Williams', 'Linda Larkin']"
9378,"['Tony Shalhoub', 'Embeth Davidtz', 'Matthew Lillard']"
400155,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez']"
615677,"['YaYa Gosselin', 'Lyon Daniels', 'Andy Walken']"
49519,"['Nicolas Cage', 'Ryan Reynolds', 'Emma Stone']"
420817,"['Will Smith', 'Mena Massoud', 'Naomi Scott']"
246655,"['James McAvoy', 'Jennifer Lawrence', 'Michael Fassbender']"
480530,"['Michael B. Jordan', 'Sylvester Stallone', 'Dolph Lundgren']"
307081,"['Jake Gyllenhaal', 'Rachel McAdams', 'Forest Whitaker']"
49521,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']"
9479,"['Chris Sarandon', ""Catherine O'Hara"", 'Ken Page']"
950,"['Ray Romano', 'John Leguizamo', 'Denis Leary']"
8871,"['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor']"
12155,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']"
